event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:hdop,gps:satellite-count,height-above-ellipsoid,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
32050677013,true,2022-09-05 12:15:06.000,9.87982,46.83525,36.0,1.5,6,1868.02,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677037,true,2022-09-05 12:30:09.000,9.88015,46.8349,36.0,2.9,5,1836.25,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676369,true,2022-09-05 12:45:03.000,9.87143,46.81732,36.5,1.4,7,2214.44,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679583,true,2022-09-05 13:00:08.000,9.90745,46.79925,35.5,2.0,6,2109.75,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679408,true,2022-09-05 13:15:02.000,9.9073,46.79939,36.5,2.3,6,2113.68,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679584,true,2022-09-05 13:30:09.000,9.90745,46.7994,36.5,1.1,7,2109.56,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679501,true,2022-09-05 13:45:06.000,9.90737,46.79939,36.0,2.6,6,2100.68,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679219,true,2022-09-05 14:00:08.000,9.907,46.79966,36.5,2.9,5,2100.59,"5:5","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676965,true,2022-09-06 09:15:04.000,9.87939,46.83551,33.5,1.4,6,1866.01,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679316,true,2022-09-06 09:30:06.000,9.90721,46.79959,32.0,1.7,7,2113.1,"7:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678331,true,2022-09-06 09:45:05.000,9.90333,46.80301,36.0,2.0,7,2124.39,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676938,true,2022-09-06 10:15:05.000,9.87913,46.81319,34.0,0.9,8,2138.37,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679563,true,2022-09-06 10:30:05.000,9.90743,46.7992,37.5,3.7,6,2112.5,"6:6","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676417,true,2022-09-06 10:45:03.000,9.87168,46.81405,34.5,1.4,8,2117.13,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050676581,true,2022-09-06 11:15:03.000,9.8728,46.82022,33.0,1.3,7,2065.07,"7:7","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679772,true,2022-09-06 11:30:02.000,9.9077,46.79931,36.5,1.1,8,2120.76,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677338,true,2022-09-06 11:45:07.000,9.8843,46.81179,36.5,1.1,8,2097.58,"8:8","gps","Nucifraga caryocatactes","5999","K121752","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
